2023-08-09 13:42:00,100 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:42:00,129 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:42:00,130 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:42:00,130 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:42:00,130 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:42:17,257 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:42:17,257 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:42:17,263 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:42:17,271 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:42:17,271 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:42:17,271 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:42:17,271 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:42:39,942 - usb_get - ERROR	 - main: 128	 - Тест не пройден
2023-08-09 13:46:34,647 - usb_get - ERROR	 - main: 128	 - Тест не пройден
2023-08-09 13:46:49,431 - usb_get - ERROR	 - main: 128	 - Сообщение в очереди не соответствует. Тест не пройден
2023-08-09 13:47:04,184 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:47:04,184 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:47:04,184 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:47:04,213 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:47:04,213 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:47:04,213 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:47:04,213 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:48:28,784 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:48:28,784 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:48:28,784 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:48:28,791 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:48:28,791 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:48:28,791 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:48:28,791 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:50:00,410 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:50:00,410 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:50:00,410 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:50:00,439 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:50:00,440 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:50:00,440 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:50:00,440 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:50:32,773 - usb_get - ERROR	 - main: 128	 - Сообщение в очереди не соответствует. Тест не пройден
2023-08-09 13:50:50,990 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:50:50,990 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:50:50,991 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:50:51,002 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:50:51,003 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:50:51,003 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:50:51,003 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 13:51:17,362 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:51:17,363 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:51:17,363 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:51:17,370 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:51:17,371 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/300
2023-08-09 13:51:17,371 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0300
2023-08-09 13:51:17,371 - usb_get - ERROR	 - info_usb: 13	 - Тест не пройден, ID_REVISION не соответствует
2023-08-09 13:58:58,024 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:58:58,025 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 13:58:58,025 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 13:58:58,032 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 13:58:58,032 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 13:58:58,032 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 13:58:58,032 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 14:04:18,727 - usb_get - ERROR	 - main: 128	 - Сообщение в очереди не соответствует. Тест не пройден
2023-08-09 14:07:09,744 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:07:09,744 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:07:09,749 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 14:07:09,776 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:07:09,776 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 14:07:09,776 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 14:07:09,776 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 14:10:57,450 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:10:57,450 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:10:57,450 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 14:10:57,459 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:10:57,459 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 14:10:57,460 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 14:10:57,460 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 14:26:21,888 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:26:21,889 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:26:21,889 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 14:26:21,914 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:26:21,915 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 14:26:21,915 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 14:26:21,915 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 14:28:05,529 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:28:05,530 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:28:05,530 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 14:28:05,540 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:28:05,540 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/300
2023-08-09 14:28:05,540 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0300
2023-08-09 14:28:05,540 - usb_get - ERROR	 - info_usb: 13	 - Тест не пройден, ID_REVISION не соответствует
2023-08-09 14:33:58,942 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:33:58,943 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:33:58,943 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 14:33:58,951 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:33:58,951 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 14:33:58,951 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 14:33:58,951 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 14:47:02,118 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:47:02,118 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 14:47:02,118 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
